Timestamp,Thread ID,Trace type,Function,Call ID,Argument,Closure
950778579,ThreadId 1,EntryTrace,qsort,1,
949631938,ThreadId 1,ArgTrace,qsort,1,as,constr,
951867310,ThreadId 1,ArgTrace,qsort,1,a,thunk,
952240416,ThreadId 1,EntryTrace,qsort,2,
952223429,ThreadId 1,ArgTrace,qsort,2,as,thunk,
952269949,ThreadId 1,ArgTrace,qsort,2,a,constr,
952282979,ThreadId 1,EntryTrace,qsort,3,
952277310,ThreadId 1,ArgTrace,qsort,3,as,thunk,
952301661,ThreadId 1,ArgTrace,qsort,3,a,constr,
952324171,ThreadId 1,EntryTrace,qsort,4,
952316333,ThreadId 1,ArgTrace,qsort,4,a,constr,
952336815,ThreadId 1,ArgTrace,qsort,3,as,blackhole,
952351180,ThreadId 1,ArgTrace,qsort,3,a,constr,
952363465,ThreadId 1,EntryTrace,qsort,5,
952359859,ThreadId 1,ArgTrace,qsort,5,as,thunk,
952380876,ThreadId 1,ArgTrace,qsort,5,a,constr,
952394910,ThreadId 1,EntryTrace,qsort,6,
952389489,ThreadId 1,ArgTrace,qsort,6,as,thunk,
952419285,ThreadId 1,EntryTrace,qsort,7,
952413227,ThreadId 1,ArgTrace,qsort,7,a,constr,
952430589,ThreadId 1,ArgTrace,qsort,6,as,blackhole,
952449347,ThreadId 1,EntryTrace,qsort,8,
952443900,ThreadId 1,ArgTrace,qsort,8,a,constr,
952458506,ThreadId 1,ArgTrace,qsort,5,as,blackhole,
952480635,ThreadId 1,ArgTrace,qsort,5,a,constr,
952499337,ThreadId 1,EntryTrace,qsort,9,
952495741,ThreadId 1,ArgTrace,qsort,9,a,constr,
952510812,ThreadId 1,ArgTrace,qsort,2,as,blackhole,
952525512,ThreadId 1,ArgTrace,qsort,2,a,constr,
952539883,ThreadId 1,EntryTrace,qsort,10,
952536300,ThreadId 1,ArgTrace,qsort,10,a,blackhole,
952554664,ThreadId 1,ArgTrace,qsort,1,as,constr,
952563980,ThreadId 1,ArgTrace,qsort,1,a,blackhole,
952574466,ThreadId 1,EntryTrace,qsort,11,
952570929,ThreadId 1,ArgTrace,qsort,11,as,thunk,
952593578,ThreadId 1,ArgTrace,qsort,11,a,constr,
952608046,ThreadId 1,EntryTrace,qsort,12,
952602165,ThreadId 1,ArgTrace,qsort,12,as,thunk,
952625181,ThreadId 1,ArgTrace,qsort,12,a,constr,
952643409,ThreadId 1,EntryTrace,qsort,13,
952638089,ThreadId 1,ArgTrace,qsort,13,a,constr,
952654792,ThreadId 1,ArgTrace,qsort,12,as,blackhole,
952669174,ThreadId 1,ArgTrace,qsort,12,a,constr,
952689876,ThreadId 1,EntryTrace,qsort,14,
952685732,ThreadId 1,ArgTrace,qsort,14,as,thunk,
952713565,ThreadId 1,EntryTrace,qsort,15,
952707604,ThreadId 1,ArgTrace,qsort,15,a,constr,
952724818,ThreadId 1,ArgTrace,qsort,14,as,blackhole,
952745763,ThreadId 1,EntryTrace,qsort,16,
952739937,ThreadId 1,ArgTrace,qsort,16,a,constr,
952754886,ThreadId 1,ArgTrace,qsort,11,as,blackhole,
952774287,ThreadId 1,ArgTrace,qsort,11,a,constr,
